Problem,Problem Type,Algorithm,Population Size,Constraints Number,Objectives Number,Archive Size,Mutation Type,Crossover Rate,Crossover Type,Number of Generations,Decision Variables Number,Reference Point,Execution Time,Hypervolume,Mutation Rate
SPD,Engineering,CMOEA/D-DMA,100,9,3,1,Polynomial,0.7719,SBX,1000,6,[ 1.03189458e+01  1.23910369e+04 -6.66669104e+05],14.4213,0.387946,0.301159
SPD,Engineering,CMOEA/D-DMA,400,9,3,1,Polynomial,0.9153,SBX,100,6,[ 1.26795425e+01  1.28448271e+04 -3.41307403e+05],11.8001,0.758689,0.958444
SPD,Engineering,CMOEA/D-DMA,300,9,3,6,Polynomial,0.8484,SBX,150,6,[ 1.10105278e+01  1.29470877e+04 -3.94775240e+05],10.9476,0.668879,0.647078
SPD,Engineering,CMOEA/D-DMA,500,9,3,2,Polynomial,0.8757,SBX,150,6,[ 1.07228812e+01  1.28804597e+04 -3.37896591e+05],27.7732,0.818076,0.762488
SPD,Engineering,CMOEA/D-DMA,400,9,3,2,Polynomial,0.9151,SBX,300,6,[ 1.05730228e+01  1.26042837e+04 -5.88650318e+05],33.9868,0.557290,0.440942
SPD,Engineering,CMOEA/D-DMA,500,9,3,4,Polynomial,0.7320,SBX,100,6,[ 1.05850003e+01  1.26340872e+04 -5.76117120e+05],18.0980,0.605849,0.833326
SPD,Engineering,CMOEA/D-DMA,200,9,3,8,Polynomial,0.8310,SBX,300,6,[ 1.05458884e+01  1.25995933e+04 -5.90249572e+05],10.8353,0.477410,0.884357
SPD,Engineering,CMOEA/D-DMA,200,9,3,8,Polynomial,0.9939,SBX,50,6,[ 1.32566381e+01  1.29839273e+04 -3.06196291e+05],2.0917,0.778779,0.090797
SPD,Engineering,CMOEA/D-DMA,500,9,3,6,Polynomial,0.8723,SBX,1000,6,[ 1.04796442e+01  1.25274361e+04 -6.07798683e+05],169.5276,0.339932,0.064093
SPD,Engineering,CMOEA/D-DMA,300,9,3,8,Polynomial,0.9874,SBX,150,6,[ 1.06045646e+01  1.29057841e+04 -3.92571327e+05],10.3568,0.635887,0.629166
SPD,Engineering,CMOEA/D-DMA,200,9,3,2,Polynomial,0.7536,SBX,50,6,[ 1.06046443e+01  1.19258546e+04 -4.47962250e+05],1.8174,0.500476,0.215936
SPD,Engineering,CMOEA/D-DMA,500,9,3,2,Polynomial,0.9027,SBX,100,6,[ 1.06803780e+01  1.23852240e+04 -4.28354342e+05],17.7341,0.643214,0.767271
SPD,Engineering,CMOEA/D-DMA,400,9,3,8,Polynomial,0.9133,SBX,150,6,[ 1.03941048e+01  1.24395799e+04 -6.51939181e+05],18.6703,0.374753,0.209046
SPD,Engineering,CMOEA/D-DMA,300,9,3,8,Polynomial,0.7692,SBX,500,6,[ 1.05721496e+01  1.26084914e+04 -5.93469373e+05],33.4910,0.474326,0.367871
SPD,Engineering,CMOEA/D-DMA,400,9,3,8,Polynomial,0.7282,SBX,1000,6,[ 1.04742677e+01  1.25454394e+04 -6.03247826e+05],116.7403,0.463262,0.202601
SPD,Engineering,CMOEA/D-DMA,200,9,3,8,Polynomial,0.9693,SBX,1000,6,[ 1.06656937e+01  1.26707516e+04 -5.59517393e+05],32.5936,0.540620,0.309410
SPD,Engineering,CMOEA/D-DMA,400,9,3,4,Polynomial,0.9802,SBX,500,6,[ 1.12359692e+01  1.30645653e+04 -2.67210626e+05],54.1772,0.734923,0.584432
SPD,Engineering,CMOEA/D-DMA,500,9,3,2,Polynomial,0.7797,SBX,500,6,[ 1.07589175e+01  1.27739068e+04 -4.64000983e+05],81.6772,0.751643,0.826246
SPD,Engineering,CMOEA/D-DMA,200,9,3,2,Polynomial,0.8944,SBX,1000,6,[ 1.04423024e+01  1.24558387e+04 -6.22492639e+05],31.1750,0.382761,0.130367
SPD,Engineering,CMOEA/D-DMA,200,9,3,2,Polynomial,0.9381,SBX,1000,6,[ 1.02850908e+01  1.23508719e+04 -6.92942421e+05],32.9823,0.552097,0.694333
SPD,Engineering,CMOEA/D-DMA,300,9,3,2,Polynomial,0.9829,SBX,1000,6,[ 1.07591298e+01  1.28557847e+04 -4.26860516e+05],63.9580,0.762239,0.567231
